,Address/City/Postal Code,Weblink,Number of Rooms,Return on Invesment,Purchase Price,Market Price,Pct Below Market Value,Potential Cash Flow,Finders Fee,Current Gross Income,Potential Gross Income,Cash Flow Required
0,"Raikes Parade, Blackpool, FY1 4EY",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=472," 7  are currently let out 
flat 1 – rented at £120 pw = £520 pcm
flat 2 – rented at £95 pw = £412 pcm
flat 3 – rented at £85 pw = £368 pcm
flat 4 – rented at £90 pw = £390 pcm
flat 5 – rented at £100 pw = £433 pcm
flat 6 – rented at £96 pw = £416 pcm
flat 7 – rented at £100 pw = £433 pcm
current income = £2,972 pcm = £35,664 per annum",27%,"£320,000","£350,000",,"£2,172","£5,000","£35,664",,"£96,600"
1,"Stewardstone Gate, Priorslee, Telford, TF2 9SS",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=488," 6  are currently vacant and previously rented for
room 1 - currently rented for £481 pcm
room 2 - vacant - previously rented for £455 pcm
room 3 - vacant - previously rented for £455 pcm
room 4 - currently rented for £563 pcm
room 5 - currently rented for £455 pcm
room 6 - vacant - previously rented for £455 pcm
room 7 - potential to rent at £455 pcm - subject to planning
potential gross income (6 bed full occupancy) = £2,864 pcm = £34,368 per annum
potential gross income (7 bed occupancy) = £3,319 pcm = £39,828 per annum",146%,,,,,"£4,000",,,
2,"Lakeview Avenue, Edgware, HA8 7RU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=485,"  are all vacant, 6 doubles and could be rented for
room 1 - double room and could be rented for £715 pcm
room 2 - double room and could be rented for £715 pcm
room 3 - double room and could be rented for £715 pcm
room 4 - double room and could be rented for £715 pcm
room 5 - double room and could be rented for £685 pcm
room 6 - large double ensuite and could be rented for £789 pcm
potential gross income = £4,334 pcm = £52,008 per annum",94%,,,,,"£4,000",,,"£12,000"
3,"Bessemer Street, Ferryhill, DL17 8NJ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=483,"  is currently rented at £325 pcm = £3,900 per annum",22%,"£33,000","£40,000",17%,£242,"£4,000","£325£3,900",,"£13,250"
4,"Brompton Avenue, Sefton Park, Liverpool, L17 3BU",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=484,"  was previously rented out as follows:
room 1 - currently rented for £85 pw = £368 pcm
room 2 - currently rented for £85 pw = £368 pcm
room 3 - currently rented for £85 pw = £368 pcm
room 4 - currently rented for £85 pw = £368 pcm
room 6 - currently rented for £85 pw = £368 pcm
room 7 - currently rented for £85 pw = £368 pcm
room 8 - currently rented for £85 pw = £368 pcm
room 9 - currently rented for £85 pw = £368 pcm
room 10 - currently rented for £85 pw = £368 pcm
current gross income = £3,680 pcm = £44,160 per annum",22%,"£380,000","£435,000",13%,"£2,080","£6,000","£3,680£44,160",,"£114,400"
5,"Burnley Road, Colne, Lancashire, BB8 8DT",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=482," , 3 bedroom properties in this area and in good condition let for £550 monthly, producing £6,600 annually.
potential gross income = £550 pcm = £6,600 per annum",10%,"£79,000",,31%,£352,"£6,000",,"£550£6,600","£41,120"
6,"Birkby, Huddersfield, HD2 2TL",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=481,"  are all vacant, 7 doubles and could be rented for
room 1 - double room could be rented for £380 pcm
room 2 - double room could be rented for £380 pcm
room 3 - double room could be rented for £380 pcm
room 4 - double room could be rented for £380 pcm
room 5 - double room could be rented for £380 pcm
room 6 - double room could be rented for £380 pcm
room 7 - double room could be rented for £380 pcm
potential gross income = £2,660 pcm = £31,920 per annum",106%,,,,,"£5,000",,,"£8,000"
7,"Mountjoy Road, Huddersfield, HD1 5PZ",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=479,"  are all vacant, 6 doubles, 4 ensuites and could be rented for
room 1 - double room could be rented for £85 pw = £368 pcm
room 2 - double room could be rented for £85 pw = £368 pcm
room 3 - double room could be rented for £85 pw = £368 pcm
room 4 - double room could be rented for £85 pw = £368 pcm
room 5 - double room could be rented for £85 pw = £368 pcm
room 6 - double room could be rented for £85 pw = £368 pcm
room 7 - ensuite room could be rented for £90 pw = £390 pcm
room 8 - ensuite room could be rented for £90 pw = £390 pcm
room 9 - ensuite room could be rented for £90 pw = £390 pcm
room 10 - ensuite room could be rented for £90 pw = £390 pcm
potential gross income = £3,768 pcm = £45,216 per annum",102%,,,,,"£5,000",,,"£9,600"
8,"St Ann’s Road, Coventry, CV2 4EH",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=478,"  out to students who will vacate in august as whole house for £1,650.
room 1 – double room could be rented for £470 pcm = £5,640 per annum 
room 2 – double room could be rented for £470 pcm = £5,640 per annum
room 3 – double room could be rented for £470 pcm = £5,640 per annum
room 4 – double room could be rented for £470 pcm = £5,640 per annum
room 5 – double room could be rented for £470 pcm = £5,640 per annum
potential gross income = £2,350 pcm = £28,200 per annum",132%,,,,,"£4,000",,,
9,"Albany Road, Doncaster, DN4 0QW",https://www.propertyinvestorapp.co.uk/properties/customerviewproperty?id=477,"  was previously rented out as follows:
room 1 – currently rented for £85 pw = £368 pcm
room 2 - currently rented for £85 pw = £368 pcm
room 3 - currently rented for £85 pw = £368 pcm
room 4 - currently rented for £85 pw = £368 pcm
room 5 - currently rented for £85 pw = £368 pcm
rental income (fully tenanted) = £1,840 pcm = £22,080 per annum",29%,"£149,000","£167,000",11%,"£1,142","£5,000","£1,840£22,080",,"£47,720"
